input_size,mean_comparisons,variance
10,24.72,14.042448979591837
20,69.98,98.99959183673468
30,128.94,229.44530612244898
40,188.62,295.4648979591837
50,260.22,602.0934693877552
60,331.34,1275.4942857142858
70,400.4,899.2653061224491
80,486.8,2208.7755102040815
90,563.18,2353.293469387755
100,640.86,3332.9799999999996
110,739.64,4178.357551020408
120,825.44,4142.9044897959175
130,905.24,5948.716734693878
140,994.54,6035.600408163266
150,1100.36,8014.316734693877
160,1171.5,8210.336734693878
170,1279.34,13274.310612244897
180,1356.3,10126.091836734695
190,1464.28,11900.246530612245
200,1574.02,18042.958775510204
210,1667.3,12439.357142857143
220,1755.1,19792.29591836735
230,1872.02,18707.162857142856
240,1954.28,15248.49142857143
250,2116.2,33127.26530612245
260,2219.06,43214.016734693876
270,2237.04,24548.28408163265
280,2327.26,23067.094285714287
290,2519.44,56622.455510204076
300,2591.54,44181.60040816327
310,2710.84,40086.58612244898
320,2769.62,29347.301632653063
330,2935.56,34730.128979591835
340,3064.54,76387.88612244898
350,3135.98,55449.77510204082
360,3237.28,43880.164897959185
370,3303.9,45588.66326530613
380,3437.32,59198.50775510205
390,3589.78,52378.90979591837
400,3706.72,52012.9812244898
410,3815.64,74180.0718367347
420,3928.28,58576.164897959185
430,4040.52,80613.15265306122
440,4083.18,54037.94653061225
450,4220.3,69991.03061224491
460,4357.62,81704.48530612246
470,4432.4,90846.93877551018
480,4513.6,82401.67346938777
490,4741.4,97561.38775510204
500,4864.84,94330.6269387755
510,4908.64,136259.05142857143
520,5036.9,106010.94897959182
530,5185.42,86444.61591836734
540,5289.92,126985.09551020409
550,5423.16,129323.19836734694
560,5541.22,157316.82816326534
570,5666.26,154254.80857142858
580,5701.94,97637.64938775513
590,5881.28,155595.38938775507
600,5919.48,131501.19346938774
610,6032.2,95821.42857142855
620,6257.8,201828.69387755098
630,6406.18,165605.04857142858
640,6458.22,176467.68530612244
650,6618.46,117204.62081632653
660,6740.66,129578.71877551022
670,6784.38,132562.97510204083
680,7062.16,238580.3820408163
690,7063.2,216011.5918367347
700,7155.98,222946.46897959185
710,7331.6,189049.0204081633
720,7470.76,215792.92081632654
730,7496.08,220399.0955102041
740,7555.26,137375.95142857145
750,7877.98,242735.8975510204
760,7908.34,349225.0453061225
770,7967.34,173905.45346938778
780,8288.3,399362.3775510204
790,8325.1,231400.41836734695
800,8343.4,215668.4081632653
810,8577.52,293940.5812244898
820,8567.16,185880.01469387757
830,8770.48,259621.56081632653
840,8918.34,223662.6779591837
850,9163.28,293451.5526530612
860,9220.16,260300.17795918364
870,9346.86,490079.46979591844
880,9495.92,273531.5853061225
890,9473.82,187380.64040816328
900,9648.12,349285.90367346944
910,9657.3,297544.8265306122
920,10029.06,420875.97591836733
930,10249.66,419323.9432653061
940,10115.68,336815.81387755106
950,10411.18,287348.2730612245
960,10475.5,249384.70408163266
970,10481.1,269000.98979591834
980,10815.64,325103.3371428572
990,10746.56,381030.7412244898
1000,10965.34,349126.31061224494
